FID,Shape,FID_1,Area,Block,Profile,EC,SAR,E_Depth,WT,CaCO3,Gypsum,OM,N,P,K,Fe,Mn,Zn,Cu,TEXTURE_AL,pH,Long,Lat
2318,Point,2130,1,64,366,2.01,6.9,150,150,3,1.07,0.22,28.42,17.57,194.4,3.12,3.44,4.44,0.26,Sand,8.67,"30° 27' 22.578"" E","30° 42' 4.584"" N"
2254,Point,2062,1,51,171,4.85,14.4,150,150,5.44,1.03,0.71,168,9.86,703.2,8.24,19.33,2.68,1.63,Sand,7.15,"30° 19' 35.248"" E","30° 36' 21.442"" N"
2137,Point,1896,1,32,7,1.25,4.63,140,150,5.5,1.7,0.55,73.08,3.24,27.54,3.12,0.99,1.34,0.12,Sand,8.43,"30° 0' 9.773"" E","30° 39' 12.536"" N"
1922,Point,474,1,65,211,0.92,1.9,150,150,7.9,0.33,0.68,140,18,325,3.25,3.25,1.3,5,Sand,8.22,"30° 24' 49.812"" E","30° 48' 49.807"" N"
2639,Point,3020,4,63,447,1.62,3.88,150,200,6.42,0.085,0.09,81.2,10.09,174.02,6.34,8.22,1.56,0.19,Sand,8.77,"30° 27' 44.515"" E","30° 32' 36.417"" N"
2654,Point,3052,4,64,48,0.63,1,150,200,0.21,0.8,0.23,32.48,11.62,105,1.24,1.62,1.46,2.22,Sand,8.61,"30° 27' 42.359"" E","30° 39' 6.073"" N"
2184,Point,1976,1,40,186,2.7,4.56,150,150,7.36,1.25,0.6,99.75,4.78908,46.86,9.044,1.902,0.79,0.262,Sand,8.51,"30° 9' 35.344"" E","30° 34' 56.770"" N"
2202,Point,1999,1,32,568,1.63,1.79,150,150,7.4,1.8,0.25,99.75,4.78908,46.86,9.044,1.902,0.79,0.262,Sand,9.2,"30° 6' 25.170"" E","30° 39' 31.503"" N"
2275,Point,2083,1,40,450,2.01,4.42,150,150,5.62,1.05,0.62,141.75,4.17,74.02,7.35,6.39,3.56,1.27,Sand,8.46,"30° 13' 0.836"" E","30° 36' 51.702"" N"
2841,Point,3464,4,114,449,0.75,1.2,150,200,0.19,1.8,0.18,59.33,19.42,65.54,2.76,11.72,3.19,6,Sand,9,"30° 42' 43.608"" E","30° 39' 57.651"" N"
2811,Point,3381,4,112,56,3.64,4.88,150,200,7.84,0.98,0.13,168,9.57816,157.68,4.438,2.638,1.454,0.17,Sand,9.12,"30° 39' 56.750"" E","30° 29' 24.036"" N"
1826,Point,152,1,53,467,2.1,1.4,120,120,9,0.97,0.5,80,21,400,2.725,7.65,0.93,2.6,Sand,8.04,"30° 20' 6.657"" E","30° 51' 14.556"" N"
