FID,Shape,FID_1,Area,Block,Profile,EC,SAR,E_Depth,WT,CaCO3,Gypsum,OM,N,P,K,Fe,Mn,Zn,Cu,TEXTURE_AL,pH,Long,Lat
1239,Point,524,1,65,218,0.94,2.1,150,150,4.7,0.2,1.53,104,25,540,2.925,8.35,1.2,3.5,Clay Loam,7.37,"30° 24' 49.120"" E","30° 50' 43.452"" N"
1235,Point,480,1,66,480,2.63,7.1,150,150,7.25,0.65,2.15,132,17,425,4,3,0.9,4.3,Clay Loam,7.71,"30° 27' 56.381"" E","30° 53' 26.617"" N"
1299,Point,1257,1,25,281,2.7,4.5,150,150,18.5,2.33,1.74,168,30,560,7,3.25,1.4,6,Clay Loam,7.33,"29° 55' 42.772"" E","30° 45' 23.808"" N"
1291,Point,1080,1,43,126,7.1,5.9,120,150,12.3,1.5,2.5,128,32,680,10.5,5.5,0.6,4.3,Clay Loam,6.76,"30° 8' 45.929"" E","30° 57' 23.958"" N"
1301,Point,1274,1,26,93,2.38,1.76,150,150,4,0.87,0.5,168,30,560,7,3.25,1.4,6,Clay Loam,7.12,"29° 53' 43.487"" E","30° 54' 51.007"" N"
1225,Point,369,1,43,401,1.6,3.6,120,150,9.9,3.1,2.5,100,30,305,6.875,5.925,1.03,3.5,Clay Loam,7.87,"30° 11' 54.976"" E","30° 56' 3.996"" N"
1271,Point,947,1,43,488,2.01,2.7,120,150,3.3,1.5,1.82,93.8,18.8,340,9.875,4.275,0.7,4.95,Clay Loam,8.08,"30° 12' 51.075"" E","30° 56' 53.046"" N"
1322,Point,1381,1,56,417,7.64,3.3,150,200,8.2,1.2,1.41,112,20,480,11.925,9.6625,1,5.45,Clay Loam,7.77,"30° 19' 58.518"" E","31° 10' 43.419"" N"
1248,Point,662,1,54,664,1.57,3.2,150,150,3.5,1.1,2.1,110.4,17.5,385,7,9.4,0.65,3.8,Clay Loam,7.9,"30° 22' 15.830"" E","30° 57' 44.845"" N"
1250,Point,669,1,66,109,2.24,2.8,150,150,4.3,1,1.35,100.4,20.1,290,4.775,8.85,0.43,2.5,Clay Loam,7.71,"30° 23' 30.671"" E","30° 59' 6.379"" N"
1295,Point,1118,1,34,488,1.4,1,150,100,14.25,1.06,1.76,132,33,650,11.5,5.25,0.75,6,Clay Loam,6.81,"30° 5' 37.870"" E","30° 56' 50.207"" N"
1214,Point,264,1,33,95,1.8,2.8,150,150,14,1.05,1.8,108,17,425,6.6,5.2,0.86,4.6,Clay Loam,8.03,"30° 1' 0.832"" E","30° 47' 52.441"" N"
1264,Point,873,1,44,79,1.68,2.6,150,150,2.5,1.2,1.1,88,31,205,8.875,4.275,0.75,2.8,Clay Loam,8.97,"30° 8' 22.421"" E","31° 6' 3.303"" N"
1321,Point,1376,1,56,522,1.8,1.2,120,150,8.2,3.1,1.23,84,18,445,6.775,6.7875,0.8,4.8,Clay Loam,8.11,"30° 21' 14.375"" E","31° 9' 55.103"" N"
1230,Point,407,1,56,193,2.34,1.8,135,150,12.3,1,2.44,79.6,16.4,510,9.375,6.275,1.1,4.4,Clay Loam,7.12,"30° 17' 28.436"" E","31° 8' 32.741"" N"
1286,Point,1036,1,34,221,1.39,2.3,140,120,15.58,1.06,1.92,132,13,475,7,5.25,0.9,4.2,Clay Loam,8.15,"30° 2' 28.389"" E","30° 58' 42.480"" N"
1350,Point,2181,1,148,62,0.9,1.6,120,150,6,1.07,2,100.8,26.4,380,6.575,8.075,0.68,2.4,Clay Loam,7.65,"30° 46' 46.141"" E","30° 51' 52.506"" N"
1242,Point,582,1,65,268,1.15,2,150,150,5.04,0.35,0.65,84,18.3,275,8.1,6.775,1.05,4.7,Clay Loam,7.76,"30° 25' 27.335"" E","30° 49' 6.211"" N"
1289,Point,1072,1,43,42,0.97,1.7,120,150,17.5,3.5,1.5,128,32,680,10.5,5.5,0.6,4.3,Clay Loam,7.48,"30° 7' 49.419"" E","30° 57' 23.581"" N"
1205,Point,139,1,43,558,4.87,9.8,120,150,5.6,2.5,1.47,112,13,410,7.175,5.4,0.98,4,Clay Loam,8,"30° 13' 49.404"" E","30° 53' 6.109"" N"
1276,Point,957,1,43,295,5.77,7,120,150,2.3,1.5,1.8,86,15.3,220,6.3375,2.975,0.6,4.3,Clay Loam,8.47,"30° 10' 38.811"" E","30° 57' 40.926"" N"
1324,Point,1383,1,56,422,2.51,4.6,110,110,8.2,1.5,0.33,80,14,450,8.3375,6.7875,0.9,4.25,Clay Loam,7.53,"30° 19' 57.948"" E","31° 12' 4.588"" N"
1269,Point,944,1,43,607,1.4,1.6,120,150,10.5,3,3.34,108.6,25.3,510,8.025,7.775,0.4,5.2,Clay Loam,6.63,"30° 14' 5.510"" E","30° 58' 47.136"" N"
1323,Point,1382,1,56,444,1.63,1.7,100,100,10.3,1.3,1.54,112,20,480,11.925,9.6625,1,5.45,Clay Loam,7.68,"30° 20' 17.399"" E","31° 10' 43.516"" N"
1257,Point,724,1,66,133,1.53,1.9,150,150,6.35,1.2,1.4,124.4,15.3,360,2.95,9.625,1.03,3.5,Clay Loam,8.01,"30° 23' 49.923"" E","30° 58' 1.529"" N"
1273,Point,952,1,43,266,5.67,2.1,120,150,6.7,1.17,1.5,86,15.3,220,6.3375,2.975,0.6,4.3,Clay Loam,8.46,"30° 10' 20.113"" E","30° 57' 24.572"" N"
1348,Point,2179,1,148,52,4.3,1.2,120,150,1.9,1.14,1.3,100.8,26.4,380,6.575,8.075,0.68,2.4,Clay Loam,7.91,"30° 46' 27.359"" E","30° 51' 36.238"" N"
1197,Point,53,1,43,655,2.5,3.5,120,150,7.3,2.5,1.5,158,11.65,380,8.775,6.45,1.77,3.2,Clay Loam,7.66,"30° 14' 44.216"" E","30° 56' 37.486"" N"
1194,Point,50,1,54,96,3.93,1.8,120,150,8.1,2.5,0.36,110.8,30.4,495,6.9,5.525,1.01,2.5,Clay Loam,7.5,"30° 16' 0.051"" E","30° 55' 32.983"" N"
1339,Point,1711,1,23,390,9.8,6.9,150,150,36.2,0.96,0.1,183.75,3.7,26.34,7.18,1.79,1.75,1.79,Clay Loam,8.87,"29° 57' 4.459"" E","30° 35' 23.786"" N"
1202,Point,136,1,43,361,4.2,8.3,150,150,6.7,1.5,1.5,112,13,410,7.175,5.4,0.98,4,Clay Loam,8.01,"30° 11' 37.779"" E","30° 52' 49.072"" N"
1296,Point,1135,1,44,130,1.35,2.6,150,150,7.5,0.4,1.3,96,33,630,9.5,4.25,0.8,3.6,Clay Loam,7.07,"30° 9' 0.874"" E","31° 4' 42.387"" N"
1234,Point,476,1,65,216,0.85,1.7,150,150,5.21,0.24,1.22,140,18,325,3.25,3.25,1.3,5,Clay Loam,7.69,"30° 24' 49.318"" E","30° 50' 10.982"" N"
1280,Point,966,1,43,384,3.3,2.9,120,150,8.1,3.5,0.72,86,15.3,220,6.3375,2.975,0.6,4.3,Clay Loam,8.89,"30° 11' 34.641"" E","30° 59' 2.451"" N"
1219,Point,360,1,43,166,2.7,2.7,150,150,17.7,3.34,2.5,100,30,305,6.875,5.925,1.03,3.5,Clay Loam,8.06,"30° 9' 25.883"" E","30° 53' 4.465"" N"
1314,Point,1340,1,34,131,6.66,9.5,150,150,14.36,1.13,1.94,168,30,560,7,3.25,1.4,6,Clay Loam,6.86,"30° 1' 33.352"" E","30° 56' 15.958"" N"
1254,Point,699,1,54,546,1.6,2.5,120,150,9.9,0.9,1.6,53.6,8.3,470,3.875,10.775,1.08,2.1,Clay Loam,7.77,"30° 21' 1.135"" E","30° 56' 7.065"" N"
1307,Point,1298,1,26,404,4.3,4.1,150,150,4,0.87,0.63,168,30,560,7,3.25,1.4,6,Clay Loam,7.18,"29° 57' 8.816"" E","30° 57' 35.059"" N"
1308,Point,1324,1,33,56,3.9,2,150,150,16,0.91,1.98,168,30,560,7,3.25,1.4,6,Clay Loam,6.64,"30° 0' 20.375"" E","30° 52' 28.121"" N"
1218,Point,359,1,43,81,3.1,4.2,120,150,5.7,2.5,0.22,100,30,305,6.875,5.925,1.03,3.5,Clay Loam,7.65,"30° 8' 29.560"" E","30° 52' 47.860"" N"
1229,Point,394,1,44,37,4.8,5.5,120,150,2.5,0.5,0.9,92,13,210,5.575,4.425,1.45,4.35,Clay Loam,8.94,"30° 8' 5.616"" E","31° 2' 15.910"" N"
1211,Point,145,1,54,480,1.9,3.2,150,150,6.8,1.1,2.07,144,28,495,2.65,6.35,1.07,3.2,Clay Loam,7.11,"30° 20' 24.584"" E","30° 53' 24.529"" N"
1252,Point,686,1,54,390,17.3,43.9,120,150,5.6,2.5,1.9,134.8,14.99,280,4.1,7.575,1.11,2.7,Clay Loam,7.78,"30° 19' 6.750"" E","30° 59' 21.294"" N"
1342,Point,1785,1,24,148,3.33,7.1,120,150,6,0.96,4.5,183.75,3.7,26.34,7.18,1.79,1.75,1.79,Clay Loam,8.93,"29° 54' 12.835"" E","30° 39' 25.893"" N"
1315,Point,1341,1,34,138,8.87,8.1,150,100,8.54,1.04,1.74,168,30,560,7,3.25,1.4,6,Clay Loam,7.14,"30° 1' 32.198"" E","30° 58' 9.590"" N"
1256,Point,722,1,66,48,2.72,5.1,150,150,4.35,1.1,1.35,124.4,15.3,360,2.95,9.625,1.03,3.5,Clay Loam,7.75,"30° 22' 53.508"" E","30° 57' 45.027"" N"
1245,Point,587,1,65,330,1.46,2.8,150,150,4.87,0.43,0.91,84,18.3,275,8.1,6.775,1.05,4.7,Clay Loam,8.16,"30° 26' 4.385"" E","30° 50' 43.787"" N"
1278,Point,962,1,43,324,7.15,11.8,120,150,5.3,1.5,2.5,86,15.3,220,6.3375,2.975,0.6,4.3,Clay Loam,8.57,"30° 10' 57.510"" E","30° 57' 57.279"" N"
1288,Point,1068,1,43,6,1.7,5.5,120,150,15.3,3.5,2.5,128,32,680,10.5,5.5,0.6,4.3,Clay Loam,6.84,"30° 7' 32.505"" E","30° 53' 52.417"" N"
1258,Point,729,1,70,76,5.5,17.2,150,150,5.1,1.5,2,74.4,16.4,615,4.675,5.9,0.93,4.3,Clay Loam,7.49,"30° 23' 58.108"" E","31° 26' 9.947"" N"
1246,Point,647,1,66,234,1.85,1.6,150,150,8.25,0.7,2.15,105.2,28.4,280,5.775,7.725,0.95,2.1,Clay Loam,7.84,"30° 25' 6.366"" E","30° 55' 3.294"" N"
1284,Point,988,1,44,486,1.7,3.5,150,150,3.1,0.5,0.91,120,31,450,11.7875,6.7875,1.4,5.6,Clay Loam,7.59,"30° 13' 7.130"" E","31° 2' 34.071"" N"
1290,Point,1079,1,43,123,3.5,2.5,120,150,15.5,3,2,128,32,680,10.5,5.5,0.6,4.3,Clay Loam,6.63,"30° 8' 46.362"" E","30° 56' 35.257"" N"
1333,Point,1495,1,56,359,1.82,1.9,90,90,10.2,1.5,2.18,76,17,570,8.8625,4.9875,0.7,4.45,Clay Loam,6.67,"30° 19' 21.218"" E","31° 9' 38.286"" N"
1313,Point,1338,1,34,102,1.1,3.6,150,150,13.48,0.86,1.93,168,30,560,7,3.25,1.4,6,Clay Loam,6.97,"30° 1' 14.851"" E","30° 55' 43.350"" N"
1305,Point,1291,1,26,298,3.6,3,150,150,15,0.97,0.56,168,30,560,7,3.25,1.4,6,Clay Loam,6.93,"29° 55' 53.109"" E","30° 58' 6.907"" N"
1303,Point,1285,1,26,227,3.48,4.75,150,150,5,4.5,0.56,168,30,560,7,3.25,1.4,6,Clay Loam,7.48,"29° 55' 18.534"" E","30° 53' 30.639"" N"
1317,Point,1344,1,34,182,1.35,1.7,150,100,5.36,1.14,1.45,168,30,560,7,3.25,1.4,6,Clay Loam,6.78,"30° 2' 11.506"" E","30° 55' 27.541"" N"
1193,Point,46,1,54,116,1.75,3.8,150,150,12.9,0.95,0.7,120.4,32.6,610,10.2,6.6,1.43,2.7,Clay Loam,7.14,"30° 16' 19.867"" E","30° 53' 23.215"" N"
1358,Point,2435,1,149,17,1.1,3.3,150,200,3.2,0.75,0.55,92,5.5,300,6.275,5.575,1.2,4.8,Clay Loam,7.55,"30° 45' 11.244"" E","30° 57' 0.809"" N"
1356,Point,2430,1,149,22,1.8,4.6,150,200,4.2,0.53,0.73,68,9,430,6.775,6.275,1.6,4.2,Clay Loam,7.63,"30° 45' 10.866"" E","30° 59' 26.926"" N"
1213,Point,263,1,33,92,1.5,2.1,150,150,14,1.17,2,108,17,425,6.6,5.2,0.86,4.6,Clay Loam,8.02,"30° 1' 1.328"" E","30° 47' 3.741"" N"
1201,Point,134,1,54,58,7.6,1.4,60,150,4.5,0.5,2.23,112,13,410,7.175,5.4,0.98,4,Clay Loam,8.09,"30° 15' 42.468"" E","30° 52' 50.533"" N"
1360,Point,3390,4,112,137,2.06,8.94,150,200,70.01,1.41,0.65,157.5,1.25928,151.62,10.434,3.558,1.318,0.15,Clay Loam,8.54,"30° 42' 45.626"" E","30° 28' 35.730"" N"
1255,Point,700,1,54,547,2.3,3.4,120,150,10.2,1,2.34,53.6,8.3,470,3.875,10.775,1.08,2.1,Clay Loam,7.79,"30° 21' 1.025"" E","30° 56' 23.299"" N"
1359,Point,2438,1,116,642,1.37,2.2,120,150,3.5,0.94,2.3,124.4,11,400,9.45,4.75,1.2,4.2,Clay Loam,7.75,"30° 44' 33.175"" E","30° 59' 26.853"" N"
1293,Point,1108,1,34,376,2.28,1.7,150,150,14.76,1.13,1.9,132,33,650,11.5,5.25,0.75,6,Clay Loam,6.85,"30° 4' 22.531"" E","30° 56' 49.673"" N"
1279,Point,965,1,43,374,5.5,5.1,120,150,5.7,2.5,2,86,15.3,220,6.3375,2.975,0.6,4.3,Clay Loam,8.59,"30° 11' 36.007"" E","30° 56' 20.113"" N"
1338,Point,1698,1,23,343,14.9,36.2,150,150,18.1,1.5,0.2,183.75,3.7,26.34,7.18,1.79,1.75,1.79,Clay Loam,9.05,"29° 56' 25.692"" E","30° 37' 17.117"" N"
1331,Point,1462,1,44,633,1.2,2.6,150,150,12.8,0.45,1.3,108,24,390,6.3375,5.1125,0.75,4.1,Clay Loam,8.05,"30° 14' 40.501"" E","31° 4' 28.269"" N"
1309,Point,1331,1,33,185,1.22,2.1,150,150,14,0.91,1.55,168,30,560,7,3.25,1.4,6,Clay Loam,6.65,"30° 1' 56.270"" E","30° 49' 30.267"" N"
1228,Point,381,1,53,27,0.9,1,135,120,12,1.04,1.7,128,20,580,3.4,5.3,1.12,4.2,Clay Loam,6.74,"30° 15' 5.076"" E","30° 52' 17.848"" N"
1337,Point,1688,1,23,288,9.3,7.4,150,150,14.6,1.3,0.3,183.75,3.7,26.34,7.18,1.79,1.75,1.79,Clay Loam,8.59,"29° 55' 48.330"" E","30° 37' 0.576"" N"
1221,Point,364,1,43,336,1.79,3.8,120,150,7.3,2.5,2.7,100,30,305,6.875,5.925,1.03,3.5,Clay Loam,7.84,"30° 11' 18.546"" E","30° 53' 37.656"" N"
1233,Point,475,1,65,212,0.92,1.9,150,150,7.35,0.26,0.75,140,18,325,3.25,3.25,1.3,5,Clay Loam,7.88,"30° 24' 49.713"" E","30° 49' 6.042"" N"
1346,Point,2156,1,116,652,0.94,2.4,120,150,3.4,1.05,2.3,55.2,9.7,370,2.925,7.8,0.45,2,Clay Loam,7.59,"30° 44' 52.791"" E","30° 54' 34.654"" N"
1285,Point,1027,1,35,160,1.96,3.5,100,100,7,3.1,1.1,128,20,420,5.5,5.25,0.8,5.1,Clay Loam,7.74,"30° 1' 46.756"" E","31° 5' 11.789"" N"
1267,Point,915,1,54,293,4.45,5,75,150,11.4,1.7,1.7,136,31,580,3.2,5.1,0.62,3.9,Clay Loam,7.14,"30° 18' 11.753"" E","30° 55' 49.947"" N"
1237,Point,507,1,65,532,5.2,9.3,150,150,7.14,0.45,1,112,17.9,425,3.25,7.25,0.8,4.2,Clay Loam,7.62,"30° 28' 15.563"" E","30° 52' 21.755"" N"
1300,Point,1258,1,25,303,13,8.6,150,150,18.5,2.65,1.95,168,30,560,7,3.25,1.4,6,Clay Loam,6.58,"29° 55' 38.804"" E","30° 51' 20.933"" N"
1275,Point,956,1,43,293,1.13,2.1,120,150,3.7,1.5,1.7,86,15.3,220,6.3375,2.975,0.6,4.3,Clay Loam,8.59,"30° 10' 39.089"" E","30° 57' 8.458"" N"
1319,Point,1367,1,45,256,1.89,3,150,150,6.2,0.17,0.1,84,9.06,425,10.5,2.75,1.2,2.1,Clay Loam,7.73,"30° 10' 33.214"" E","31° 8' 30.267"" N"
1223,Point,366,1,43,344,6.81,4.1,120,150,5.3,1.5,1.7,100,30,305,6.875,5.925,1.03,3.5,Clay Loam,8.26,"30° 11' 17.448"" E","30° 55' 47.527"" N"
1203,Point,137,1,43,389,2.7,2.2,150,150,15.6,3.5,1.43,112,13,410,7.175,5.4,0.98,4,Clay Loam,7.67,"30° 11' 56.601"" E","30° 52' 49.189"" N"
1351,Point,2182,1,148,70,4.5,5.2,120,150,2.2,1.17,2.1,100.8,26.4,380,6.575,8.075,0.68,2.4,Clay Loam,7.99,"30° 47' 4.962"" E","30° 51' 52.538"" N"
1199,Point,132,1,54,170,2.7,3,120,150,7.5,1.4,0.63,92,14,580,2.875,6.45,1.11,5,Clay Loam,7.18,"30° 16' 57.758"" E","30° 52' 50.957"" N"
1287,Point,1066,1,34,630,1.42,1.9,150,150,22.46,1.17,1.66,128,32,680,10.5,5.5,0.6,4.3,Clay Loam,7.09,"30° 7' 11.746"" E","30° 57' 23.326"" N"
1195,Point,51,1,43,544,2.41,1.7,120,150,10.5,2,4.58,158,11.65,380,8.775,6.45,1.77,3.2,Clay Loam,8.22,"30° 13' 28.746"" E","30° 56' 53.273"" N"
1344,Point,1915,1,31,160,4.57,12.9,150,150,5.5,0.5,0.3,73.08,3.24,27.54,3.12,0.99,1.34,0.12,Clay Loam,8.36,"30° 1' 46.091"" E","30° 35' 9.738"" N"
1240,Point,525,1,65,222,1.14,3.4,150,150,5.21,0.42,1.22,104,25,540,2.925,8.35,1.2,3.5,Clay Loam,6.51,"30° 24' 48.725"" E","30° 51' 48.391"" N"
1212,Point,147,1,54,210,62.2,68.9,150,150,11.5,0.8,1.3,132,28,295,3.225,4.1,0.55,4.1,Clay Loam,7.78,"30° 17' 15.136"" E","30° 56' 5.873"" N"
1312,Point,1334,1,34,22,3.17,5.1,150,120,12.33,1.13,2.2,168,30,560,7,3.25,1.4,6,Clay Loam,7.41,"30° 0' 18.191"" E","30° 55' 59.151"" N"
1238,Point,523,1,65,166,2.66,5.8,150,150,5.38,0.21,1.1,104,25,540,2.925,8.35,1.2,3.5,Clay Loam,6.58,"30° 24' 11.085"" E","30° 51' 48.219"" N"
1326,Point,1404,1,56,195,1.4,2.2,135,150,4.1,1.2,2.05,140,13,430,16.375,7.5625,1.1,4.5,Clay Loam,7.81,"30° 17' 28.194"" E","31° 9' 5.208"" N"
1215,Point,306,1,33,629,4.8,4,150,150,13,1.07,1.02,108,17,425,6.6,5.2,0.86,4.6,Clay Loam,7.66,"30° 6' 56.794"" E","30° 50' 21.122"" N"
1316,Point,1342,1,34,162,1.1,1.7,150,150,16.44,0.87,1.96,168,30,560,7,3.25,1.4,6,Clay Loam,7.34,"30° 1' 51.528"" E","30° 57' 21.033"" N"
1334,Point,1505,1,44,519,1.77,4.4,150,90,12.7,0.9,1.2,84,12,480,4.7,5.85,0.9,4.8,Clay Loam,7.74,"30° 13' 25.324"" E","31° 3' 55.353"" N"
1222,Point,365,1,43,337,3.04,5,120,150,16.4,8,1.7,100,30,305,6.875,5.925,1.03,3.5,Clay Loam,8.14,"30° 11' 18.409"" E","30° 53' 53.890"" N"
1261,Point,862,1,44,279,3.6,2.5,150,150,5.2,0.9,1.2,132,22,325,8,4,0.8,5.4,Clay Loam,8.28,"30° 10' 33.916"" E","31° 7' 9.100"" N"
1304,Point,1287,1,26,258,5.13,5.43,150,150,4,1.07,0.8,168,30,560,7,3.25,1.4,6,Clay Loam,7.23,"29° 55' 36.631"" E","30° 54' 35.726"" N"
1294,Point,1109,1,34,385,1.13,2.3,120,150,24.82,1.04,1.82,132,33,650,11.5,5.25,0.75,6,Clay Loam,7.37,"30° 4' 21.118"" E","30° 59' 15.772"" N"
1253,Point,690,1,54,328,2.1,2.7,120,150,2.9,1,1.9,88.4,36.63,470,3.925,6.85,1.24,2.5,Clay Loam,8.13,"30° 18' 29.766"" E","30° 57' 43.688"" N"
1192,Point,32,1,54,105,2.54,0.9,80,150,6.4,1.9,0.49,84,17,380,3.825,3.35,0.87,5.1,Clay Loam,7.66,"30° 15' 58.934"" E","30° 57' 59.090"" N"
1227,Point,372,1,43,477,1.4,5.3,120,150,8.2,10.6,1.2,100,30,305,6.875,5.925,1.03,3.5,Clay Loam,7.55,"30° 12' 52.537"" E","30° 53' 54.471"" N"
1332,Point,1494,1,56,358,1.4,1.2,90,90,8.2,1.8,0.28,76,17,570,8.8625,4.9875,0.7,4.45,Clay Loam,6.88,"30° 19' 21.334"" E","31° 9' 22.052"" N"
1311,Point,1333,1,34,18,6.5,12.1,150,65,6.63,0.97,2.18,168,30,560,7,3.25,1.4,6,Clay Loam,6.75,"30° 0' 18.864"" E","30° 54' 54.219"" N"
1343,Point,1801,1,24,450,6.4,7.6,150,150,25.9,0.91,0.62,183.75,3.7,26.34,7.18,1.79,1.75,1.79,Clay Loam,8.36,"29° 57' 40.427"" E","30° 37' 50.190"" N"
1216,Point,347,1,42,107,1,1,130,130,26.18,0.97,1.28,128,33,372,2.725,6.275,1.33,4.8,Clay Loam,7.71,"30° 8' 29.995"" E","30° 51' 59.158"" N"
1204,Point,138,1,43,474,2.3,5.9,120,150,5.3,2.5,1.93,112,13,410,7.175,5.4,0.98,4,Clay Loam,7.97,"30° 12' 52.935"" E","30° 53' 5.769"" N"
1367,Point,1102,1,34,317,1.79,1.9,150,100,8.22,1.21,1.92,132,33,650,11.5,5.25,0.75,6,Loam,6.63,"30° 3' 45.655"" E","30° 55' 28.234"" N"
1364,Point,691,1,54,582,0.96,2.6,120,150,10.5,1.8,2.1,74.8,35.05,395,3.475,5.025,0.65,2.6,Loam,8.22,"30° 21' 19.095"" E","30° 58' 17.035"" N"
1369,Point,2766,4,50,62,1.02,1.72,150,200,2.1,2.8,0.16,73.08,4.1,101.74,1.57,0.67,1.03,0.27,Loam,8.72,"30° 19' 19.417"" E","30° 29' 19.225"" N"
1362,Point,389,1,54,152,1.55,2,120,150,3.1,1.5,1.23,124,29,590,3.175,5.225,0.87,5,Loam,7.43,"30° 16' 37.714"" E","30° 55' 33.195"" N"
1368,Point,1107,1,34,367,6.33,12.3,150,150,8.32,1.12,1.82,132,33,650,11.5,5.25,0.75,6,Loam,7.09,"30° 4' 23.942"" E","30° 54' 23.572"" N"
1366,Point,1073,1,43,88,2.5,5.5,120,150,16.4,3.6,2.5,128,32,680,10.5,5.5,0.6,4.3,Loam,6.81,"30° 8' 28.545"" E","30° 54' 41.496"" N"
1363,Point,569,1,65,440,1.12,2.8,150,150,5.04,0.35,0.75,108,16.6,475,11.4,8.8,0.63,0.23,Loam,8.11,"30° 27' 19.834"" E","30° 50' 11.640"" N"
1365,Point,1059,1,34,567,2.92,1.8,150,150,12.47,1.04,1.85,128,32,680,10.5,5.5,0.6,4.3,Loam,6.81,"30° 6' 35.127"" E","30° 55' 29.433"" N"
1361,Point,348,1,42,160,1.6,2.4,130,130,10.45,1.03,1.26,128,33,372,2.725,6.275,1.33,4.8,Loam,8.06,"30° 9' 7.776"" E","30° 51' 43.173"" N"
1562,Point,2779,4,50,197,7.3,3.54,120,200,1.6,2.1,0.14,105.56,7.84,169.46,4.22,6.2,1.19,0.03,Loamy Sand,9.09,"30° 16' 31.420"" E","30° 27' 40.904"" N"
1419,Point,532,1,64,275,1.7,5.47,150,150,17.64,0.75,0.32,96,17,475,3.625,7.05,0.62,3.2,Loamy Sand,7.81,"30° 25' 47.681"" E","30° 44' 46.533"" N"
1660,Point,3150,4,84,206,3.98,4.12,140,200,4.52,0.17,0.34,29.33,15.2,32.6,5.68,4.23,3.48,1.57,Loamy Sand,8.61,"30° 30' 32.599"" E","30° 35' 3.208"" N"
1546,Point,2710,4,39,601,5.94,7.41,130,200,0.45,2.31,0.13,73.5,3.79,125.08,7.9,2.62,0.63,0.39,Loamy Sand,8.64,"30° 10' 56.520"" E","30° 22' 46.675"" N"
1652,Point,3138,4,84,77,1.2,1.18,120,200,2.6,0.12,0.29,63.28,7.84,129.4,5.74,8.16,1.44,0.38,Loamy Sand,8.38,"30° 35' 13.673"" E","30° 36' 41.602"" N"
1396,Point,319,1,42,103,0.86,3.01,130,130,13.56,0.51,1.32,108,17,425,6.6,5.2,0.86,4.6,Loamy Sand,7.59,"30° 8' 30.574"" E","30° 50' 54.223"" N"
1762,Point,3531,4,146,361,4.62,4.1,150,200,0.24,3.3,2.7,393.75,9.86,119.86,2.59,0.78,1.82,0.24,Loamy Sand,9.14,"30° 45' 34.096"" E","30° 30' 13.491"" N"
1433,Point,650,1,66,148,2.14,1.6,150,150,5.15,0.7,1.8,102.4,23,570,2.85,8.325,1.11,2.8,Loamy Sand,6.54,"30° 24' 10.077"" E","30° 54' 30.567"" N"
1412,Point,490,1,66,297,1.34,2.3,150,150,8.15,0.45,2,108,8.5,315,3.25,5.5,0.9,2.1,Loamy Sand,7.72,"30° 25' 43.349"" E","30° 56' 57.105"" N"
1505,Point,1920,1,31,218,3.83,12.6,150,150,2.9,0.6,0.2,73.08,3.24,27.54,3.12,0.99,1.34,0.12,Loamy Sand,8.44,"30° 2' 23.299"" E","30° 35' 42.485"" N"
1667,Point,3168,4,84,365,1.06,4.92,140,200,6.58,0.12,0.06,118.65,16.84,87.34,3.38,5.34,5.97,3.72,Loamy Sand,8.68,"30° 35' 14.500"" E","30° 33' 26.771"" N"
1504,Point,1919,1,31,213,2.52,8.1,150,150,5.6,0.7,0.3,73.08,3.24,27.54,3.12,0.99,1.34,0.12,Loamy Sand,8.47,"30° 2' 24.100"" E","30° 34' 21.314"" N"
1597,Point,2961,4,62,269,3.34,15.32,120,200,4.6,0.25,0.46,110.74,2.86,181.15,3.01,3.49,1.71,0.26,Loamy Sand,8.37,"30° 24' 1.518"" E","30° 26' 54.483"" N"
1379,Point,195,1,53,250,1.75,1.1,120,120,9,0.88,0.58,80,22,365,3.075,3.975,0.87,3.7,Loamy Sand,7.9,"30° 17' 57.414"" E","30° 45' 32.933"" N"
1500,Point,1831,1,31,114,1.72,4.5,150,150,2.1,0.4,0.4,183.75,3.7,26.34,7.18,1.79,1.75,1.79,Loamy Sand,8.58,"30° 1' 30.251"" E","30° 30' 17.383"" N"
1383,Point,259,1,33,29,1.3,3.1,150,150,11,0.43,0.42,108,17,425,6.6,5.2,0.86,4.6,Loamy Sand,7.98,"30° 0' 24.891"" E","30° 45' 9.820"" N"
1541,Point,2701,4,39,492,3.18,5.92,150,110,0.22,3.15,0.22,115.5,3.85,75.32,5.03,3.78,2.58,0.37,Loamy Sand,8.89,"30° 13' 44.283"" E","30° 24' 25.112"" N"
1399,Point,327,1,42,193,0.88,2.54,150,80,11.04,0.98,1.38,108,17,425,6.6,5.2,0.86,4.6,Loamy Sand,7.95,"30° 9' 48.371"" E","30° 46' 2.502"" N"
1472,Point,1681,1,23,247,12.5,10,150,150,15.5,2.1,0.2,183.75,3.7,26.34,7.18,1.79,1.75,1.79,Loamy Sand,8.75,"29° 55' 32.071"" E","30° 33' 13.151"" N"
1532,Point,2656,4,39,51,0.92,3.5,150,200,0.22,0.42,0.085,60.9,4.84,41.34,4.31,0.75,1.1,0.04,Loamy Sand,8.42,"30° 10' 53.264"" E","30° 29' 16.317"" N"
1451,Point,1318,1,33,16,2.23,1.7,120,150,10,0.99,0.4,168,30,560,7,3.25,1.4,6,Loamy Sand,6.68,"30° 0' 3.576"" E","30° 49' 13.176"" N"
